[0.002] I: Not running on a Raspberry Pi.
== Lennox Winslow PS40
== Pellet Stove Control Panel
== Author: Skylar Grant
== Version: v0.2.1
==
== Startup Time: 2023-01-06T20:37:10.591Z
==
== Environment variables:
== == ONTIME=500
== == OFFTIME=1500
== == PAUSETIME=3000
== == DEBUG=true
== == ONPI=false
[0.006] I: == GPIO Not Available
[0.006] I: Pausing for 3000ms
[3.009] I: Pausing for 3000ms
[6.011] I: Pausing for 3000ms
[9.013] I: Pausing for 3000ms
[12.014] I: Pausing for 3000ms
[17.02] I: Auger cycled (500/1500)
[19.026] I: Auger cycled (500/1500)
[21.03] I: Auger cycled (500/1500)
[23.036] I: Auger cycled (500/1500)
[25.041] I: Auger cycled (700/1300)
[27.045] I: Auger cycled (700/1300)
[29.05] I: Auger cycled (700/1300)
[31.053] I: Auger cycled (700/1300)
[33.057] I: Auger cycled (700/1300)
[35.06] I: Auger cycled (700/1300)
[37.064] I: Auger cycled (700/1300)
[39.067] I: Auger cycled (700/1300)
[41.07] I: Auger cycled (700/1300)
[43.073] I: Auger cycled (700/1300)
[45.075] I: Auger cycled (700/1300)
[47.077] I: Auger cycled (700/1300)
[49.08] I: Auger cycled (700/1300)
[51.083] I: Auger cycled (700/1300)
[53.086] I: Auger cycled (700/1300)
[55.09] I: Auger cycled (700/1300)
[57.092] I: Auger cycled (700/1300)
[59.093] I: Auger cycled (700/1300)
[61.096] I: Auger cycled (700/1300)
[63.099] I: Auger cycled (700/1300)
[65.102] I: Auger cycled (700/1300)
[67.105] I: Auger cycled (700/1300)
[69.108] I: Auger cycled (700/1300)
[71.11] I: Auger cycled (700/1300)
[73.113] I: Auger cycled (700/1300)
[75.116] I: Auger cycled (700/1300)
[77.118] I: Auger cycled (700/1300)
[79.12] I: Auger cycled (700/1300)
[81.123] I: Auger cycled (700/1300)
[83.126] I: Auger cycled (700/1300)
[85.128] I: Auger cycled (700/1300)
[87.13] I: Auger cycled (700/1300)
[89.132] I: Auger cycled (700/1300)
[91.135] I: Auger cycled (700/1300)
[93.137] I: Auger cycled (700/1300)
[95.14] I: Auger cycled (700/1300)
[97.143] I: Auger cycled (700/1300)
[99.145] I: Auger cycled (700/1300)
[101.148] I: Auger cycled (700/1300)
[103.152] I: Auger cycled (700/1300)
[105.155] I: Auger cycled (700/1300)
[107.157] I: Auger cycled (700/1300)
[109.16] I: Auger cycled (700/1300)
[111.162] I: Auger cycled (700/1300)
[113.166] I: Auger cycled (700/1300)
[115.168] I: Auger cycled (700/1300)
[117.171] I: Auger cycled (700/1300)
[119.173] I: Auger cycled (700/1300)
[121.176] I: Auger cycled (700/1300)
[123.179] I: Auger cycled (700/1300)
[125.182] I: Auger cycled (700/1300)
[127.186] I: Auger cycled (700/1300)
[129.187] I: Auger cycled (700/1300)
[131.19] I: Auger cycled (700/1300)
[133.194] I: Auger cycled (700/1300)
[135.197] I: Auger cycled (700/1300)
[137.199] I: Auger cycled (700/1300)
[139.201] I: Auger cycled (700/1300)
[141.204] I: Auger cycled (700/1300)
[143.206] I: Auger cycled (700/1300)
[145.209] I: Auger cycled (700/1300)
[147.211] I: Auger cycled (700/1300)
[149.212] I: Auger cycled (700/1300)
[151.215] I: Auger cycled (700/1300)
[153.218] I: Auger cycled (700/1300)
[155.22] I: Auger cycled (700/1300)
[157.223] I: Auger cycled (700/1300)
[159.226] I: Auger cycled (700/1300)
[161.229] I: Auger cycled (700/1300)
[163.232] I: Auger cycled (700/1300)
[165.234] I: Auger cycled (700/1300)
[167.236] I: Auger cycled (700/1300)
[169.239] I: Auger cycled (700/1300)
[171.24] I: Auger cycled (700/1300)
[173.243] I: Auger cycled (700/1300)
[175.245] I: Auger cycled (700/1300)
[177.248] I: Auger cycled (700/1300)
[179.25] I: Auger cycled (700/1300)
[181.252] I: Auger cycled (700/1300)
[183.254] I: Auger cycled (700/1300)
[185.257] I: Auger cycled (700/1300)
[187.258] I: Auger cycled (700/1300)
[189.262] I: Auger cycled (700/1300)
[191.264] I: Auger cycled (700/1300)
[193.266] I: Auger cycled (700/1300)
[195.268] I: Auger cycled (700/1300)
[195.269] I: Pausing for undefinedms
[195.27] I: Pausing for undefinedms
[195.271] I: Pausing for undefinedms
[195.273] I: Pausing for undefinedms
[195.274] I: Pausing for undefinedms
[195.274] I: Pausing for undefinedms
[195.276] I: Pausing for undefinedms
[195.277] I: Pausing for undefinedms
[195.278] I: Pausing for undefinedms
[195.28] I: Pausing for undefinedms
[195.281] I: Pausing for undefinedms
[195.282] I: Pausing for undefinedms
[195.283] I: Pausing for undefinedms
[195.285] I: Pausing for undefinedms
[195.286] I: Pausing for undefinedms
[195.287] I: Pausing for undefinedms
[195.288] I: Pausing for undefinedms
[195.29] I: Pausing for undefinedms
[195.291] I: Pausing for undefinedms
[195.292] I: Pausing for undefinedms
[195.294] I: Pausing for undefinedms
[195.295] I: Pausing for undefinedms
[195.296] I: Pausing for undefinedms
[195.297] I: Pausing for undefinedms
[195.299] I: Pausing for undefinedms
[195.3] I: Pausing for undefinedms
[195.301] I: Pausing for undefinedms
[195.302] I: Pausing for undefinedms
[195.304] I: Pausing for undefinedms
[195.305] I: Pausing for undefinedms
[195.306] I: Pausing for undefinedms
[195.307] I: Pausing for undefinedms
[195.309] I: Pausing for undefinedms
[195.311] I: Pausing for undefinedms
[195.312] I: Pausing for undefinedms
[195.314] I: Pausing for undefinedms
[195.315] I: Pausing for undefinedms
[195.316] I: Pausing for undefinedms
[195.317] I: Pausing for undefinedms
[195.319] I: Pausing for undefinedms
[195.32] I: Pausing for undefinedms
[195.321] I: Pausing for undefinedms
[195.321] I: Pausing for undefinedms
[195.323] I: Pausing for undefinedms
[195.324] I: Pausing for undefinedms
[195.325] I: Pausing for undefinedms
[195.327] I: Pausing for undefinedms
[195.328] I: Pausing for undefinedms
[195.329] I: Pausing for undefinedms
[195.33] I: Pausing for undefinedms
[195.332] I: Pausing for undefinedms
[195.333] I: Pausing for undefinedms
[195.334] I: Pausing for undefinedms
[195.334] I: Pausing for undefinedms
[195.336] I: Pausing for undefinedms
[195.337] I: Pausing for undefinedms
[195.338] I: Pausing for undefinedms
[195.339] I: Pausing for undefinedms
[195.341] I: Pausing for undefinedms
[195.342] I: Pausing for undefinedms
[195.342] I: Pausing for undefinedms
[195.344] I: Pausing for undefinedms
[195.345] I: Pausing for undefinedms
[195.346] I: Pausing for undefinedms
[195.347] I: Pausing for undefinedms
[195.349] I: Pausing for undefinedms
[195.35] I: Pausing for undefinedms
[195.351] I: Pausing for undefinedms
[195.352] I: Pausing for undefinedms
[195.354] I: Pausing for undefinedms
[195.355] I: Pausing for undefinedms
[195.356] I: Pausing for undefinedms
